,Genres,Similar,
0,fiction,"fiction,womens fiction,adult fiction,christian fiction,realistic fiction,apocalyptic,speculative fiction,literary fiction,futuristic,marvel,futurism,weird fiction,military fiction,slash fiction,historical fiction,fictitious",
1,fantasy,"fantasy,shapeshifters,magical realism,fairy tales,paranormal urban fantasy,science fiction fantasy,heroic fantasy,superheroes,fairies,lovecraftian,imaginary,witches",
2,romance,"romance,love,polyamorous,harlequin,category romance,love inspired,romantic,polyamory,historical romance,m m romance,medieval romance,anthologies",
3,nonfiction,"nonfiction,couture,cultural,feminism,travel,reference,true story,culture story,race,biography,autobiography,biography memoir,pop culture,social issues,aviation,social movements,disability,the united states of america,humanities,transport,united states,cities,research,engineering,human resources,social justice,native americans,culture,russia,islam,international rel...,india,communism,cosmetics,immigrants,countries,authorship",
4,historical,"historical,social science,history,roman,westerns,american history,political,politics,world war ii,war,combat,military history,american,north american hi...,warfare,spanish history,military,labor,civil war,political science,museology,geography,american civil war,english history,european history,cartography,medievalism,american revolution,medieval,presidents,russian history,gettysburg campaign,citizenship",
5,childrens,"childrens,holiday,kids,colouring books,children's stories,child",
6,young adult,"young adult,juvenile fiction,new adult,fan fiction,adolescence",
7,mystery,"mystery,suspense,mistery",
11,science fiction,"science fiction,media tie in,40k,m m science fiction,science fiction r...",
12,art,"sequential art,art,music,design,architecture,crafts,witchcraft,jewellery,art and photography,actors,jazz",
13,literature,"literature,novels,writing,european literature,asian literature,novella,library science,language,literary",
14,contemporary,"contemporary,modern,urban",
15,religion,"religion,christian,lds,christianity,amish,prayer,church,judaism,buddhism,biblical fiction,biblical,satanism,copts,god,belief,bibles",
17,science,"science,medicine,nurses,biology,animals,environment,anthropology,gardening,medical,space,mental health,health,nature,pseudoscience,archaeology,wildlife,plants,emergency services,fat,illness,human ecology,neuroscience,geology,horticulture,mineralogy,physics,diseases,chemistry,feline",
18,classics,"classics,plays,diary,canon,antiques",
20,thriller,"thriller,gothic,spy thriller,crime",
22,comics,"comics,manga,dc comics,graphic novels comics,yaoi,comic books,comic",
23,humor,humor,
24,adventure,"adventure,action,epic,bounty hunters",
25,drama,"drama,death",
27,adult,"adult,dark,sex work,erotica,erotic romance,sexuality,pornography,dark fantasy",
28,philosophy,"philosophy,criticism",
30,horror,"horror,paranormal,demon",
32,food and drink,"food and drink,alcohol,beer,cooking,bar,drinking ",
40,short stories,"short stories,folk tales",
42,lgbt,"lgbt,glbt,gender,gay,lesbian,gender and sexuality",
44,academic,"textbooks,academic,education,law,linguistics,teaching,school stories,how to,school,academical,research methods,learning,information",
49,sports,"sports,sports and games,football,soccer,martial arts,mountaineering,exercise",
51,spiritual,"self help,spirituality,leadership,inspirational,esoterica,occult,self-help,body mind spirit,identity",
53,business,"business,buisness",
55,psychology,"psychology,sociology",
72,poetry,poetry,
76,computer science,"computer science,computers,internet,artificial intelligence",
77,mythology,"mythology,folklore",
87,games,"games,dungeons and dragons,gamebooks,role playing games",
99,family,"family,marriage,parenting,relationships,world of warcraft,menage,family law,pets,friendship,mothers,daughters,families,home",
100,economics,"economics,currency,productivity,finance,mathematics,money,number,management,banking,crises,industries",
101,pulp,pulp,
102,railways,railways,
103,africa,"central africa,eastern africa,northern africa,southern africa,western africa,african literature",
